Date,Price,Open,High,Low,Vol.,Change %
11/1/2024,"20,950.00","20,650.00","21,100.00","20,600.00",4.35M,1.45%
10/31/2024,"20,650.00","20,650.00","20,750.00","20,550.00",3.15M,0.00%
10/30/2024,"20,650.00","20,850.00","20,850.00","20,550.00",1.65M,-0.48%
10/29/2024,"20,750.00","20,850.00","20,850.00","20,650.00",1.71M,0.24%
10/28/2024,"20,700.00","20,600.00","21,100.00","20,600.00",3.23M,1.22%
10/25/2024,"20,450.00","20,500.00","20,700.00","20,450.00",2.05M,0.00%
10/24/2024,"20,450.00","20,550.00","20,750.00","20,400.00",2.73M,0.00%
10/23/2024,"20,450.00","20,400.00","20,700.00","20,300.00",3.53M,0.25%
10/22/2024,"20,400.00","20,500.00","20,800.00","20,200.00",3.50M,-0.49%
10/21/2024,"20,500.00","20,900.00","21,000.00","20,500.00",4.16M,-1.91%
10/18/2024,"20,900.00","21,300.00","21,500.00","20,900.00",3.42M,-1.42%
10/17/2024,"21,200.00","21,150.00","21,200.00","20,550.00",4.83M,0.71%
10/16/2024,"21,050.00","21,500.00","21,650.00","21,050.00",2.96M,-2.09%
10/15/2024,"21,500.00","21,900.00","21,900.00","21,500.00",3.22M,-0.69%
10/14/2024,"21,650.00","21,750.00","21,900.00","21,650.00",2.82M,-0.23%
10/11/2024,"21,700.00","21,700.00","21,850.00","21,600.00",1.96M,0.00%
10/10/2024,"21,700.00","22,250.00","22,300.00","21,700.00",5.10M,-1.59%
10/9/2024,"22,050.00","22,200.00","22,400.00","22,050.00",3.68M,0.00%
10/8/2024,"22,050.00","21,750.00","22,200.00","21,500.00",5.92M,1.38%
10/7/2024,"21,750.00","21,800.00","21,900.00","21,600.00",2.28M,0.23%
10/4/2024,"21,700.00","21,800.00","21,900.00","21,550.00",4.99M,0.46%
10/3/2024,"21,600.00","22,350.00","22,350.00","21,500.00",7.14M,-2.26%
10/2/2024,"22,100.00","22,050.00","22,350.00","21,950.00",4.95M,0.00%
10/1/2024,"22,100.00","22,500.00","22,600.00","22,100.00",10.81M,0.00%
9/30/2024,"22,100.00","22,050.00","22,400.00","21,900.00",7.50M,1.14%
9/27/2024,"21,850.00","21,850.00","22,150.00","21,650.00",6.73M,0.23%
9/26/2024,"21,800.00","21,800.00","21,950.00","21,500.00",6.05M,0.46%
